Trait	Eigenvector1	Eigenvector2	Eigenvector3	Eigenvector4	Eigenvector5
PZD00083.4	-5.9047E-3	-8.4519E-3	-8.5255E-3	-6.7726E-4	0.01339
PZD00083.3	-6.9977E-3	-8.9064E-3	-8.7262E-3	-2.707E-3	0.01602
PZD00083.2	-4.9402E-3	-1.0076E-2	-8.6964E-3	-2.2796E-3	0.01274
d8.1	0.04265	-4.2161E-4	0.01458	-1.699E-3	0.00176
d8.2	0.04279	0.02265	0.01689	0.00157	-1.2168E-2
d8.3	-1.7592E-2	-1.5966E-3	-2.0837E-3	-3.1142E-3	0.01109
PZB00226.1	-5.5794E-3	0.00665	0.00514	0.00493	-1.3507E-2
PZB01725.2	0.0015	-1.4906E-2	2.6737E-4	0.00928	0.01381
PZB01725.1	-1.9263E-2	-7.6558E-3	0.0059	-4.2684E-2	0.02757
PZB01728.6	-9.1568E-3	-6.2809E-3	-6.8544E-3	0.01617	0.00305
PZB01728.7	-7.836E-3	-6.9357E-3	-3.2701E-3	-2.354E-2	0.0029
PZA02812.43	-2.1429E-2	-2.2641E-3	-6.1294E-3	0.01072	-9.0984E-3
PZA02812.34	-2.1443E-2	-4.4287E-3	-6.4382E-3	0.00899	-1.0193E-2
PZA00364.2	0.00124	-1.0447E-2	8.1053E-4	-1.7942E-2	-5.7025E-3
PZA00364.5	-8.73E-3	-1.4886E-2	-7.8537E-3	0.01829	0.02306
PZB00083.1	0.00157	-3.3444E-2	-7.6205E-3	-3.2494E-4	-1.6848E-2
PZB00083.3	0.00472	-2.4021E-2	-6.4543E-3	0.00137	-3.1767E-3
PZB00895.3	-3.2066E-3	-1.1493E-2	-5.5542E-3	-7.7011E-3	-1.6741E-2
PZB00895.1	0.04211	0.01563	0.01043	-1.1319E-2	0.01738
PZB00895.2	-6.1184E-3	-3.7462E-2	-8.8623E-3	-3.3068E-3	-1.8093E-2
PZB00008.1	0.00754	0.01503	0.00283	-1.6906E-2	0.00355
PZB00063.1	7.6787E-4	0.0394	-1.1408E-3	-1.2981E-2	-3.6766E-3
PZB00063.6	-8.8111E-3	-6.8612E-3	-5.7206E-3	0.02812	0.01593
PZB00063.2	-9.7515E-3	-2.7812E-3	-5.2131E-3	0.02964	0.01652
PZB00176.5	-1.3288E-3	-7.9195E-3	-2.6125E-3	-3.2476E-3	-1.4844E-2
PZB00063.3	-2.3779E-3	-3.047E-2	-5.475E-3	-8.4234E-3	-1.158E-2
PZB00063.4	-1.2487E-2	-4.0778E-2	-1.2164E-2	0.01008	-7.7765E-4
PZB00063.5	-3.3634E-3	-3.4842E-2	-4.69E-3	-1.1794E-2	-1.6859E-2
PZA02278.1	0.04492	0.01268	0.01434	0.00317	-1.6521E-2
PZB01427.4	0.0023	-2.4137E-2	-1.1455E-2	-3.5815E-2	0.03424
PZA02698.3	0.04058	0.0216	0.01827	0.00633	-8.1088E-3
PZA00698.4	-8.6589E-3	0.0044	0.0011	0.00502	-2.1534E-4
PZA02520.1	0.04356	0.01832	0.01058	-1.0071E-2	0.02407
PZB00068.1	-2.0659E-2	-1.954E-2	-2.4277E-2	0.02643	0.01062
PZB00018.4	-2.3288E-2	-1.9133E-2	-2.2156E-2	0.02391	0.00739
PZB00018.3	-8.8729E-3	0.01517	0.00301	-4.5414E-3	-5.7927E-4
PZB00178.2	-1.2954E-2	-2.4189E-2	-2.6401E-2	0.0315	0.00732
PZD00039.4	-9.06E-3	-1.6089E-3	-4.2072E-3	-1.6426E-2	0.00431
PZD00039.2	-2.2887E-2	-4.3403E-3	-1.1229E-2	0.05343	0.00595
PZD00039.3	-1.7629E-2	0.01144	-5.2861E-3	0.01098	-1.3433E-3
PZA01978.23	0.04508	-2.247E-3	0.02066	-1.0242E-2	-3.6012E-3
PZA02204.1	-7.1063E-3	-1.9532E-2	0.03768	-2.1019E-2	-1.4837E-2
PZA00610.15	-1.1125E-2	0.00953	-1.33E-3	0.0014	0.00465
PZA00610.9	-1.0683E-2	-5.4587E-3	-2.3523E-3	0.03635	0.0031
PZA03188.2	-1.0918E-2	-7.3409E-3	0.02919	-3.1981E-2	-1.0079E-2
PZA03188.1	-3.1923E-2	0.02278	-4.1343E-3	0.03985	0.00168
PZA03188.3	0.0059	-1.9745E-2	0.04558	-2.7138E-2	-9.1863E-3
PZA03188.4	-2.8338E-2	0.02709	0.00399	-6.5719E-3	-2.8898E-3
PZA02957.4	-7.651E-3	-6.5093E-3	-5.7379E-3	0.01327	-5.7219E-3
PZA03020.8	-2.7044E-2	0.02239	0.00721	0.00411	8.8814E-4
PZA00245.16	0.01158	-3.8414E-2	-1.972E-2	-3.9739E-2	-1.3395E-2
PHM18705.23	0.03943	-2.7469E-2	0.01694	-7.6769E-3	0.04441
PZB01403.2	-8.7454E-3	0.00786	0.00303	-6.0213E-3	-7.5792E-3
PZB01403.1	0.00311	0.02803	-3.2948E-2	-2.4852E-2	0.03765
PZB01403.3	-4.2487E-3	-3.6592E-3	-1.6365E-3	-7.3407E-3	-1.0407E-2
PZB01400.1	0.00147	0.00207	-5.9197E-3	-1.0724E-3	0.00673
PZB01400.5	0.00119	0.00214	-6.336E-3	-6.3936E-4	0.00938
PZB01394.1	0.02733	0.02219	0.00632	2.7383E-4	-3.3033E-3
PZB01394.4	-1.3886E-2	-1.7773E-2	-1.3268E-2	0.04469	-2.2642E-2
PZB01394.2	0.01626	0.03433	0.0134	0.01418	-2.9902E-2
PZA00894.7	0.02146	-1.3192E-2	-3.9279E-2	0.00787	0.02472
PZA03037.8	-4.0792E-3	-5.0308E-3	-6.0774E-3	-2.4357E-3	-2.6259E-2
PZA03037.3	-6.5059E-3	0.00296	-5.0082E-3	-1.4065E-3	-3.5421E-2
PZA03037.2	0.01816	0.01204	-3.8069E-2	-4.1786E-2	0.04969
PZB00119.1	-3.9188E-2	0.02286	0.00428	5.4269E-4	-3.9024E-2
PZB00119.3	-2.8809E-2	0.0296	0.00163	0.01276	-4.8074E-3
PZB02440.1	-2.2125E-2	0.02127	-2.4057E-3	0.05006	0.01477
PZB02513.3	0.00394	-2.462E-2	-1.3463E-2	-1.4678E-2	-2.6321E-2
PZB02513.1	-3.5222E-2	0.04386	0.00321	-2.1159E-4	-7.717E-3
PZA03305.3	0.01599	0.05253	-1.8056E-2	0.00458	0.00727
PZA03305.1	-1.093E-3	-4.3563E-2	-1.8703E-2	-4.5254E-2	0.03378
PZA03305.7	0.03511	1.4275E-4	-3.8075E-2	-3.3732E-2	0.02885
PZA03305.5	0.03693	-2.8872E-3	-3.7886E-2	-3.4848E-2	0.02742
PZA03305.2	-1.2955E-2	-1.1046E-2	-1.417E-2	-4.078E-2	-1.2317E-2
PZA03076.10	-9.3719E-3	0.03017	-7.1311E-3	-3.4817E-3	-3.0963E-4
PZA03111.2	-2.0286E-2	0.0196	-9.0907E-4	-4.9121E-3	-4.1712E-3
PZA02837.5	0.02549	-1.7703E-2	-2.9324E-2	0.03392	0.02769
PZA02837.6	0.01686	-6.2197E-3	-2.8789E-2	0.03655	0.02491
PZB01227.3	0.03413	0.00866	-2.5834E-2	-3.165E-3	-4.2482E-2
PZB01227.1	0.036	-1.4913E-3	0.01724	-3.5009E-2	-7.264E-3
PZA03556.2	0.01072	0.03596	0.02606	0.02958	-4.6488E-2
PZA03556.3	0.01493	0.0065	0.02097	-1.7205E-2	-1.3119E-2
PZA00520.4	-8.2055E-3	0.00549	1.6415E-4	-1.0375E-3	-3.5727E-3
PZA02044.1	0.03468	0.00314	-3.2516E-2	0.01938	0.00188
PZB02502.5	-1.15E-2	0.01662	8.893E-5	0.01338	3.2753E-4
PZB02502.2	-1.7712E-3	-2.4493E-3	-9.0586E-4	-6.1345E-3	-9.5432E-3
PZB02502.1	0.026	0.00253	0.02245	-2.8548E-2	0.02485
PZA00385.1	0.00301	-1.4437E-2	0.04186	-1.087E-2	-1.7898E-3
PZA00385.3	0.00713	-1.9902E-2	0.04222	-1.3798E-2	-2.2084E-3
PZD00069.3	7.0611E-4	-7.805E-3	-4.48E-4	-5.2574E-3	-1.2595E-2
PZD00069.5	-1.238E-3	-7.0246E-3	0.00226	-1.9905E-3	-1.183E-2
PZD00069.4	-7.0475E-3	-1.0494E-2	0.00294	-8.2298E-3	-5.1539E-3
PZA00307.14	0.00999	-3.1604E-3	-1.6993E-2	-5.7084E-3	0.02935
PZA00276.18	0.01307	0.02669	-1.3691E-2	-6.8862E-3	0.00698
PZA00991.2	0.03629	0.01617	-4.0059E-2	-2.9496E-3	-2.4933E-2
PZA00235.6	-6.3125E-3	-1.9866E-2	-5.5868E-3	-3.0529E-2	-2.0494E-2
PZA00235.8	-5.5316E-3	-5.482E-3	-1.2264E-2	-5.362E-3	-3.9113E-2
PZA00623.3	0.0212	0.03319	-2.2624E-2	0.00847	-2.1165E-3
PZA00623.2	0.01866	-1.9577E-3	-2.6354E-2	-2.4474E-2	0.00957
PZA00623.1	-4.1257E-2	0.01602	-7.3979E-3	0.03136	-1.9895E-2
PZA02359.10	0.02659	0.04017	0.01606	-6.7215E-3	0.0126
PHM9807.9	0.02414	0.02371	-1.5042E-2	-3.3833E-3	-4.6705E-3
PZA01238.2	-1.1492E-2	0.01221	0.0471	0.03002	0.03316
PZA01068.1	0.02525	0.01031	-3.4097E-2	-2.1383E-2	0.02998
PZA00343.31	0.03673	-1.3122E-2	0.00891	0.03094	0.00746
PZA00343.11	-1.5777E-2	0.01341	-4.3823E-4	0.0083	0.01535
PZA00703.1	0.03901	-9.9319E-3	0.02248	-1.7904E-2	-3.6495E-3
PZA03018.9	-1.0671E-2	0.01778	0.00211	-3.8873E-4	7.266E-5
PHM1275.22	0.01261	0.01452	-2.6941E-2	0.03167	0.03651
PZA03018.16	6.4369E-4	-3.2318E-2	-2.3938E-2	-2.7207E-2	-2.6096E-2
PZA00243.24	0.01347	-1.3109E-2	0.03641	-3.0516E-2	0.03353
PZA00243.1	-2.7646E-3	0.01398	0.04169	-2.9471E-2	0.02815
PZA00243.25	0.02951	0.01035	-2.8208E-2	-1.6085E-3	-5.6033E-3
PZA00856.2	-2.4904E-2	0.01371	4.4258E-4	-2.0924E-2	-4.8217E-3
PZA01807.1	0.02854	0.01656	-3.4627E-2	-2.038E-2	0.01776
PZA00432.4	0.0056	0.03459	-3.9252E-2	-2.5326E-2	-3.4978E-2
PZA00477.5	-1.2328E-2	-3.0508E-2	-4.8062E-3	0.04435	8.3743E-4
PHM7616.35	-9.7895E-3	-3.2538E-2	-5.2838E-3	0.04664	0.00201
PZB01937.1	-2.2624E-2	0.00559	0.00178	-1.854E-2	0.01354
PZA00230.5	-2.244E-2	0.02709	0.00565	-2.021E-3	-2.1009E-3
PZB01937.2	-1.6274E-2	0.02205	0.00438	-1.0336E-3	9.6928E-4
PZB01937.3	-1.1129E-2	0.0056	-9.6441E-4	-6.2392E-3	-1.0188E-2
PZA00680.1	-5.0475E-3	-1.0618E-3	-3.5808E-3	0.02939	0.00953
PZA00680.3	0.02085	0.01452	-3.0639E-2	-1.7227E-2	0.00766
PZA00732.5	-3.0556E-3	-4.7391E-3	3.6712E-4	-4.6719E-3	1.937E-4
PZA00732.2	-4.591E-3	-5.5342E-3	-6.1969E-3	0.01247	0.01608
PHM5817.15	0.00397	-3.0448E-2	0.03059	0.00787	-2.758E-2
PZA00365.3	-1.4331E-3	-3.6828E-2	0.03676	0.02264	-1.8839E-2
PZA00365.2	0.01573	0.02862	-3.5007E-2	-5.6083E-3	0.0168
PZB02366.2	3.4269E-4	-1.3586E-2	0.0062	-9.7592E-3	7.3641E-4
PZA02133.10	-2.9008E-2	0.01694	-7.8006E-3	0.00471	-7.0534E-3
PHM1511.14	-1.2453E-2	0.01015	-1.2223E-2	-1.4915E-2	-4.1482E-3
PZA00525.16	-1.6157E-2	0.02223	0.00229	9.6962E-4	0.00508
PZA00525.2	-2.0054E-3	-2.9423E-2	-2.5481E-2	0.02493	-1.3052E-2
PZA00525.17	0.03466	0.01879	0.03034	7.8028E-4	-1.7662E-3
PZA02175.1	-1.4496E-2	-1.107E-2	-8.4135E-3	0.02047	-9.359E-4
PZA02681.8	0.03402	0.02082	0.0161	4.9993E-4	0.0029
PZB02145.2	-1.1903E-2	-1.5876E-2	-1.4206E-2	-2.5245E-2	-3.0814E-3
PZB02145.1	-2.7605E-2	0.0194	-8.2158E-3	0.03868	-3.6047E-2
PZA00172.11	-9.0783E-3	0.01459	7.5035E-4	4.5354E-4	-5.3378E-3
PZA00172.12	0.02965	-1.517E-2	2.1948E-4	0.01551	-2.9748E-3
PZA00613.22	-3.6054E-2	0.02692	0.00436	0.03343	0.00934
PZA00396.9	0.02923	0.03396	0.02889	-1.982E-3	-1.7787E-2
PZA00396.10	0.03697	0.02867	0.03115	-4.5034E-3	-1.7174E-2
PZB02518.1	-3.7237E-2	0.01765	-2.0456E-3	-3.1695E-2	0.02668
PZA00200.8	-2.6342E-2	0.00506	-2.2976E-2	-1.2937E-3	-1.2854E-2
PZA02081.1	0.04787	0.02094	0.02989	0.00869	-5.4196E-4
PZA00237.6	-1.6193E-2	0.0205	0.00652	-7.1521E-3	-5.9227E-3
PZA00237.2	0.0468	-3.6096E-3	0.02236	0.04548	0.01515
PZA00628.7	-1.609E-2	-5.6903E-3	-1.6657E-2	-3.2592E-2	0.01397
PZA01935.10	0.0348	0.01367	0.01808	5.11E-4	-1.3232E-3
PZA03747.4	-7.4703E-3	-1.2806E-3	-1.234E-3	-1.3169E-2	0.00498
PZA03747.2	-1.8678E-2	0.01266	-4.0762E-3	-2.1695E-2	0.00151
PZA03747.1	0.04757	0.01912	0.02158	-3.6594E-3	-5.6094E-3
PZA03748.2	-1.2229E-2	-5.036E-3	-1.8367E-3	-1.6232E-2	0.02282
PZA03748.3	-1.4349E-2	-1.2941E-3	-5.377E-3	-3.2605E-2	0.00783
PZA03748.1	0.00222	-9.9059E-3	-6.56E-3	-7.0356E-3	-3.4053E-3
PZA03701.1	-3.5431E-2	0.01158	-8.2946E-3	-3.0486E-2	0.03016
PZA03700.2	-3.0554E-3	-3.464E-2	-1.6974E-2	0.04737	-2.8547E-2
PZA03699.1	0.03851	0.02719	0.02731	0.00102	-1.3532E-3
PZB00108.2	-2.128E-2	0.02252	2.3238E-4	0.00707	0.00716
PZB00108.4	0.03989	0.0072	0.02146	0.00436	-1.2556E-2
PZB00517.2	0.04365	-2.0125E-2	0.01216	0.02922	0.02375
PZB00901.4	0.03713	0.007	0.02313	0.00155	-5.3614E-3
PZB00089.3	-2.738E-2	0.04329	0.00164	7.2718E-4	0.00874
PZB00901.6	-2.4307E-2	0.02675	-4.5091E-3	-7.9625E-3	0.01402
PZB00089.2	-1.3847E-2	-3.339E-2	-1.3844E-2	0.0127	-2.6968E-2
PZB00901.3	0.04187	0.00381	0.01755	-2.0762E-2	0.02772
PZB00901.5	-1.7528E-2	0.00256	-1.4739E-2	-3.5601E-2	-1.671E-2
PZA02272.3	0.03888	0.0113	0.01591	-7.3735E-3	0.0224
PZA00620.3	-1.7141E-2	-3.1575E-2	-2.975E-2	0.01194	0.00516
PZA00620.2	-8.2036E-3	-4.1145E-2	-2.7916E-2	0.00984	0.01497
PZA00176.8	0.02744	0.03836	0.03353	-7.8361E-3	-9.0419E-3
PZA03336.3	-9.6854E-3	-1.6622E-2	-9.1834E-3	-1.2585E-2	-1.1012E-2
PZA00259.1	-2.1494E-2	-1.3584E-2	-1.4116E-2	-1.2962E-3	0.00204
PZA00008.1	-9.6472E-3	-2.6913E-3	-5.6101E-3	0.03643	-1.8715E-3
PZB00219.1	-3.1837E-2	0.01814	-1.2462E-2	0.00551	-1.248E-2
zfl2.3	0.0209	0.0278	0.01029	0.05179	0.00722
zfl2.9	0.04464	0.02387	0.01991	0.00703	-2.7088E-3
PZA03136.4	-4.234E-3	0.00393	0.00355	-5.9048E-3	3.8495E-4
PZA03210.1	0.01129	0.02167	0.00773	-3.7644E-3	-9.6828E-4
PZA00108.12	-6.3945E-3	0.00409	-3.3059E-3	0.00678	0.00345
PZA00108.4	0.03063	7.7272E-4	0.01776	-2.148E-2	-2.2907E-2
PZA01753.1	0.04009	0.0199	0.00779	0.00983	-4.8657E-2
PZA03559.1	0.02997	-2.9018E-3	-8.1524E-3	-1.6471E-2	-3.0269E-2
PZA00459.5	-2.0206E-2	0.00509	-3.3497E-3	0.0284	0.01538
PZA02814.2	-2.541E-2	-4.9099E-3	-1.0731E-2	-2.1224E-2	0.0184
PZA03442.1	-1.6695E-2	0.02151	1.6076E-4	-1.5498E-3	-3.0031E-2
PZA00497.4	0.01146	0.04355	-2.4369E-2	-7.6199E-3	0.00994
PZA00497.1	0.0144	-4.5924E-2	0.0267	0.02334	-1.1527E-2
PZA03228.2	-1.5258E-2	0.02406	0.00985	0.00207	-7.5649E-3
PZA03228.3	0.00744	-1.3819E-2	0.01404	-1.2197E-2	-1.3165E-2
PZA03228.4	0.00793	0.00251	-2.0056E-2	0.01953	0.02301
PZB00793.1	-2.5014E-3	-2.4814E-2	0.03309	-1.6115E-2	-2.0607E-2
PZB00793.2	-6.3712E-3	-2.6657E-2	-1.3088E-2	0.03496	-1.7784E-2
PZB02017.1	4.6696E-4	-3.4648E-2	-2.1704E-2	0.03397	-1.4892E-2
PZB02017.2	-1.4605E-2	0.02315	0.00216	0.00605	0.00391
PZB02017.3	-2.7151E-3	-7.9792E-3	-4.6404E-3	-4.7301E-3	-1.6678E-2
PZA03635.1	3.8257E-4	-3.4997E-2	-2.2283E-2	0.03381	-1.7772E-2
PZA03634.1	0.04332	0.00234	0.01392	-3.6408E-3	0.0033
PZA00590.1	0.02726	0.00308	-3.6655E-2	-2.2475E-2	-9.5205E-3
PZA01879.1	0.01683	0.02508	-2.1998E-2	0.00278	0.00219
PZA00471.2	-1.9333E-2	0.03087	0.01001	-2.2713E-3	-2.4153E-3
PZA00471.1	-1.5E-2	0.02569	0.01058	-1.312E-3	0.00156
PZB02194.1	-5.2753E-4	-5.3273E-3	0.04979	0.00644	0.0147
PZA00102.8	-6.0198E-3	0.00632	0.00307	-7.5344E-3	0.00528
PZA00102.6	-5.9449E-3	0.00647	0.00332	-7.9786E-3	0.00419
PZA01755.1	0.01773	-1.0465E-2	-3.8409E-2	0.02251	0.01061
PZA03642.1	-4.7235E-3	-2.2247E-2	-5.5707E-3	0.03973	-1.1176E-2
abph1.20	0.00484	0.01139	0.04636	-1.6871E-2	0.01331
abph1.19	0.01266	-6.7629E-3	0.04237	-1.3545E-2	0.01548
PZB02035.2	-9.1397E-3	0.01476	0.00727	-8.2368E-3	0.00314
PZB02035.3	-1.7107E-2	-2.3975E-3	-8.5533E-3	-2.5021E-3	-6.1663E-2
PZB02035.4	-1.1604E-2	4.2705E-4	-5.2806E-3	-1.8199E-3	-3.8205E-2
PZB02035.1	-1.8884E-2	0.01411	0.00298	4.2869E-4	-3.583E-2
abph1.15	-3.8493E-3	-2.3906E-2	0.02687	-5.6097E-2	0.01215
abph1.10	-1.0471E-2	0.01892	0.04672	-1.2954E-2	-2.1043E-2
abph1.9	-9.7722E-3	0.02226	0.04261	-9.6599E-3	-1.709E-2
abph1.5	-9.953E-3	0.0211	0.00918	0.00136	1.8983E-4
abph1.3	-1.0764E-2	0.00218	0.00153	-9.9322E-3	-1.8965E-4
abph1.1	-1.0411E-2	4.724E-4	-1.0248E-3	-1.1251E-2	0.00331
PZA03568.1	0.02977	0.01824	-3.1837E-2	0.01445	0.0081
PZA03568.2	0.0191	0.03293	-3.3081E-2	0.02672	0.01055
PZA03568.3	-9.2392E-3	0.01404	-1.007E-3	0.01452	0.00266
PZA03567.1	-7.689E-3	0.00347	0.00868	-1.6454E-2	-2.2374E-3
PZA03121.2	-6.051E-3	-1.6001E-2	-8.1819E-5	-7.0318E-3	-1.1742E-2
PZA01336.1	0.0396	0.01422	0.01179	-1.904E-2	0.01735
PZA03319.1	0.00353	-5.2855E-3	0.03969	-3.8492E-2	0.00714
PZB02523.1	0.03302	0.00689	-3.3341E-2	-1.176E-2	0.01002
PZA00061.1	-3.0727E-2	0.01468	-3.584E-3	-2.3537E-2	-8.6211E-3
PZA02378.7	-7.3054E-4	-1.7785E-2	0.02786	-1.3724E-2	-3.7069E-2
PZB00257.1	1.0959E-4	-3.0307E-3	-1.0548E-2	-2.3691E-3	-2.9231E-2
PZA02793.33	-1.3794E-3	0.01906	0.04321	-5.3519E-3	-3.4892E-3
PZA03328.6	6.8485E-4	-2.3473E-2	0.00176	-1.3963E-2	-2.5476E-2
PZA03328.4	3.1758E-4	-1.0834E-2	9.6364E-4	-7.5355E-3	-1.1901E-2
PZA03328.2	-8.5153E-3	0.00521	0.00835	-9.0728E-3	7.952E-4
PZA03328.7	-7.7312E-3	0.00696	0.00698	-8.564E-3	5.8016E-4
PZA03328.3	0.01068	-9.0483E-3	0.02999	-1.1548E-3	-2.154E-2
PZA00730.2	-3.738E-3	-4.645E-3	0.0116	-6.8483E-3	-5.5558E-3
PZB01230.2	-1.9214E-2	-1.6464E-2	-6.2178E-3	0.02103	-1.4415E-2
PZB01230.1	-3.4299E-3	4.2909E-4	-1.9806E-3	-2.1584E-3	0.01516
PZB01230.5	-1.0302E-2	8.5808E-4	-1.5799E-3	0.04825	0.00173
PZB01231.4	0.03272	-1.7866E-2	-3.9807E-2	-2.1267E-2	7.8938E-4
PZB01231.1	-1.6438E-2	0.00809	-3.967E-3	-2.5678E-2	0.03622
PZB01231.2	-3.5503E-3	0.0085	0.03408	-3.0979E-3	-3.8977E-2
PZB01231.3	0.03019	0.03772	0.01376	0.0019	0.00227
PHM10404.8	-1.0156E-4	0.04391	-2.2713E-2	-1.4757E-2	-1.8147E-3
PZA03233.1	0.02997	0.00728	-1.3784E-2	-5.8394E-4	0.0046
PZB01047.1	-4.9945E-3	-3.7139E-2	-2.5225E-3	-6.5313E-3	0.00817
PZA00226.6	-6.5366E-3	0.00763	-1.5428E-3	1.5407E-4	0.00144
PZA00226.7	-1.3631E-2	6.1715E-4	0.00525	-1.5675E-2	0.00829
PZB00183.1	-2.1432E-3	-4.4678E-3	0.03693	-2.5879E-2	-5.3934E-3
PZB00165.4	0.0101	-1.02E-2	0.04072	6.3553E-4	-1.4245E-2
PZB00183.2	-1.5996E-4	0.00555	0.0481	-2.7134E-3	-2.3454E-2
PZB00165.2	0.01689	0.00755	-3.9871E-2	0.04625	-2.4327E-2
PZA02808.16	-1.5925E-2	-2.31E-2	-6.2282E-3	0.01489	0.02246
PZA02808.14	0.00118	0.00528	-2.3887E-3	-2.6416E-3	9.9119E-4
PZA02808.12	-8.699E-5	0.00554	-7.4465E-4	-3.0699E-3	0.00377
PZB01370.1	-2.1386E-2	0.01686	0.0078	-2.1338E-2	-1.2374E-2
PZB01370.2	0.00866	-3.3456E-3	0.03321	-2.4724E-2	0.02295
PZA02450.1	0.02623	0.01465	-2.9301E-2	-1.7285E-2	0.01957
PZA02774.1	0.03822	0.01623	0.00675	0.00593	0.00352
PZA02168.1	0.0075	0.04783	-2.6864E-2	0.01726	0.00165
PZA03629.1	0.02494	-1.3966E-3	-3.5457E-2	0.00448	0.01764
PZA03629.2	-9.0252E-3	0.0047	0.02569	0.02447	0.00149
PZA03627.1	0.00352	-2.6178E-3	0.0325	0.03569	-2.1997E-2
PZA03627.3	-1.1399E-3	-1.3289E-2	-8.7688E-4	-1.1912E-2	0.01838
PZB02209.1	0.032	0.00154	-3.0069E-2	-2.3007E-3	-1.9734E-2
PZB02209.2	0.00188	-2.2059E-2	-7.3066E-3	-2.4172E-2	0.00957
PZA00394.15	-1.5364E-3	0.0042	0.0034	0.00517	-1.7237E-2
PZA00394.11	-5.5679E-3	0.00476	9.6387E-4	-4.0034E-3	-1.2953E-3
PZA03756.1	0.03001	0.02195	0.00339	-1.5816E-2	-3.996E-2
PZA03756.2	-1.7907E-3	0.00659	0.01958	-1.7736E-2	-3.9366E-2
PZB01325.1	-3.532E-3	-2.656E-2	-5.5564E-3	0.0452	-2.557E-3
PZA00635.7	-1.8379E-2	-7.3752E-3	-1.9598E-4	-3.0207E-2	0.01774
PZA00635.4	-2.098E-2	-9.178E-3	-7.0695E-5	-2.298E-2	0.02214
PZA00635.1	-2.0145E-2	-1.7043E-3	-1.1281E-3	-3.5437E-2	0.0143
PHM10321.11	0.01212	0.01619	-3.0245E-2	-2.2377E-2	0.01718
PHM3457.6	-1.178E-2	-7.0676E-3	0.02132	0.01189	-2.4942E-2
PZA02881.9	-2.3967E-3	-7.131E-3	0.03838	0.02827	0.01251
PZA00442.4	0.00447	-1.9484E-2	0.04472	-3.0915E-2	-5.2565E-3
PZA00442.3	0.00564	-2.2564E-2	0.04341	-3.0686E-2	-7.1393E-3
PZA03410.1	-2.4049E-3	-1.2871E-2	-9.0828E-3	-7.3928E-3	-1.5595E-2
PZA00170.1	-1.1656E-2	0.00922	0.00667	0.00514	0.01362
PZA03358.4	-3.5467E-3	0.00567	-2.7951E-3	-4.978E-3	-6.3451E-3
PZA03358.1	-3.7313E-3	0.00579	-3.43E-3	-5.0985E-3	-6.3898E-3
PZA03358.3	-3.4419E-3	0.00374	-4.6171E-3	-5.6239E-3	-8.8605E-3
PZA02946.8	0.01525	0.01215	-3.7972E-2	0.02311	0.0192
PZA01902.1	0.03015	0.02004	-2.8409E-2	0.00984	-6.713E-4
PZA02549.3	0.02945	0.0179	-2.7871E-2	0.00426	0.00596
PZB00607.1	0.04659	-7.3232E-3	0.00341	-1.3127E-2	0.00446
PZA00291.7	-9.2729E-3	-1.9789E-3	0.00129	0.04104	-7.8047E-4
PZB02521.1	0.03386	-4.1026E-3	0.002	0.04835	-3.7122E-3
PZA00485.2	0.03708	-8.0925E-3	0.00955	0.04742	-5.1595E-3
PHM3626.3	0.02746	0.00829	0.01075	0.02937	0.02905
PZA02966.10	-5.8086E-3	0.01445	0.00121	-1.2533E-3	0.00138
PZA02966.11	-1.6739E-2	0.02051	0.00749	-1.8733E-2	0.01566
PZA03278.1	0.00417	-2.9814E-2	0.03609	-3.6664E-2	1.2534E-4
PZA03278.2	-1.7454E-2	0.01774	-2.6612E-3	0.00811	0.00884
PZA02831.2	-1.053E-2	0.01095	0.00471	-2.3544E-2	0.01704
PZA02831.6	-7.7161E-3	0.01876	0.00563	-4.0249E-3	0.00138
PZB01969.3	-2.9247E-3	-1.2086E-2	-9.4572E-3	-1.488E-2	0.00324
PZB01969.2	-6.8213E-3	0.00957	-1.4084E-3	-2.4646E-3	-5.9081E-3
PZB01487.1	-8.1212E-3	-9.0427E-3	-1.381E-3	-2.54E-2	-2.9079E-3
PZB01487.2	-1.1263E-2	0.0135	3.2222E-4	0.00187	-1.5921E-2
PZB02511.1	-1.2488E-2	-2.3248E-2	-7.6926E-3	0.00817	0.02639
PZA00140.7	-8.5157E-3	0.01143	-8.7303E-4	-2.31E-3	-7.5762E-3
PZA00140.6	-8.4139E-3	0.01117	-6.2945E-4	-2.5789E-3	-7.2061E-3
PZA00277.13	0.00374	-1.8862E-2	-2.1854E-3	-1.159E-2	-2.7822E-2
PZA00277.9	0.00118	-1.5942E-2	-2.5588E-3	-8.7445E-3	-2.9451E-2
PZA02626.1	0.02177	0.01075	-1.47E-2	0.00862	0.00751
PZA00029.12	-2.9905E-3	-1.0241E-2	-9.0142E-4	1.6968E-4	0.01862
PZA03211.5	-7.828E-3	-1.5851E-2	-6.8817E-4	-8.7117E-3	-4.5805E-3
PZA03211.3	-1.1207E-2	-2.6627E-2	-4.4651E-3	0.03124	0.00811
PZA01280.2	0.01864	0.02167	-1.8838E-2	-2.121E-2	0.00372
PZA01537.2	0.0069	0.0413	-2.1313E-2	-9.6861E-3	0.02601
PZA02939.5	-2.7366E-4	-1.9719E-2	-1.1509E-2	-2.199E-2	0.00797
PZA00133.1	-2.1546E-3	-9.3951E-4	-4.9167E-3	0.00367	0.01435
